Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",None,0.3,YeoJonson,55.949981451034546,0.1463324468214444,0.15147712136080885
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.2,YeoJonson,234.56953978538516,0.15088563428303375,0.15149546469498573
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.2,Log,254.71791052818298,0.15124509573402792,0.1524853928566943
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.2,Log,322.0706374645233,0.1513102871598447,0.1524943344774129
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.2,Log,242.57770609855652,0.1513683252418854,0.15249478085418633
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.2,Log,245.58253002166748,0.15129621718045294,0.1524967631942872
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",StandardScaler,0.3,Replace,64.09963345527649,0.1463700236303282,0.1525938486660012
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",RobustScaler,0.3,Replace,64.16511726379396,0.14638681846967672,0.15262764818512115
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",MinMaxScaler,0.3,Replace,62.23017287254334,0.14639371550889185,0.1526329085946123
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",None,0.3,Replace,58.214158058166504,0.14637335538866986,0.15263298610354692
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.3,Replace,38.653573036193855,0.15663344280057298,0.152979871309212
